EstablecimientoCodigo;EstablecimientoGlosa;TipoEstablecimientoGlosa;TipoSistemaSaludGlosa;DependenciaAdministrativa;NivelAtencionEstabglosa;RegionGlosa;ComunaGlosa;NivelComplejidadEstabGlosa;TipoAtencionEstabGlosa
126704;Hospital Comunitario Cristina Calderón de Puerto Williams;Hospital;Público;Servicio de Salud;Primario;Región de Magallanes y de la Antártica Chilena;Cabo de Hornos;Baja Complejidad;Atención Cerrada-Hospitalaria
126204;Hospital Naval (Puerto Williams);Hospital;Fuerzas Armadas y de Orden;Fuerzas Armadas y de Orden (FFAA);Terciario;Región de Magallanes y de la Antártica Chilena;Cabo de Hornos;Mediana Complejidad;Atención Cerrada-Hospitalaria
126412;Posta de Salud Rural Cameron;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Magallanes y de la Antártica Chilena;Timaukel;Baja Complejidad;Atención Abierta-Ambulatoria
126414;Posta de Salud Rural Agua Fresca;Posta de Salud Rural (PSR);Público;Municipal;Primario;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Baja Complejidad;Atención Abierta-Ambulatoria
126102;Hospital Dr. Marco Antonio Chamorro ( Porvenir);Hospital;Público;Servicio de Salud;;Región de Magallanes y de la Antártica Chilena;Porvenir;Baja Complejidad;Atención Cerrada-Hospitalaria
200311;Centro Comunitario de Salud Familiar Dr. Juan Damianovic;Centro Comunitario de Salud Familiar (CECOSF);Público;Municipal;Primario;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Baja Complejidad;Atención Abierta-Ambulatoria
126606;COSAM Punta Arenas;Centro Comunitario de Salud Mental  (COSAM);Público;Municipal;Secundario;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Mediana Complejidad;Atención Abierta-Ambulatoria
126801;SAR Dr. Juan Damianovic;Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR);Público;Municipal;Primario;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Baja Complejidad;Atención Abierta-Ambulatoria
126301;Centro de Salud Familiar Dr. Juan Damianovic;Centro de Salud Familiar (CESFAM);Público;Municipal;Primario;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Baja Complejidad;Atención Abierta-Ambulatoria
126228;Laboratorio Clínico Corporación Municipal Punta Arenas;Laboratorio Clínico;Público;Municipal;No Aplica;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Pendiente;No Aplica
126030;Unidad de Salud Funcionario  S.S Magallanes;Unidad de Salud Funcionarios;Público;Servicio de Salud;Secundario;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Baja Complejidad;Atención Abierta-Ambulatoria
126010;Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Magallanes);Dirección Servicio de Salud;Público;Servicio de Salud;No Aplica;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Baja Complejidad;Atención Abierta-Ambulatoria
126011;PRAIS (S.S Magallanes);Programa de Reparación y Atención Integral de Salud (PRAIS);Público;Servicio de Salud;No Aplica;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Baja Complejidad;Atención Abierta-Ambulatoria
200171;SAPU 18 de Septiembre;Servicio de Atención Primaria de Urgencia (SAPU);Público;Municipal;Primario;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Baja Complejidad;Atención Abierta-Ambulatoria
126302;Centro de Salud Familiar 18 Septiembre;Centro de Salud Familiar (CESFAM);Público;Municipal;Primario;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Baja Complejidad;Atención Abierta-Ambulatoria
126095;Vacunatorio SEREMI de Salud Magallanes;Vacunatorio;Público;SEREMI de Salud;Primario;Región de Magallanes y de la Antártica Chilena;Punta Arenas;Baja Complejidad;Atención Abierta-Ambulatoria
